,alpha,value
0,0.01,3.615261119884834
0,0.02,3.615261119884834
0,0.03,3.615261119884834
0,0.04,3.615261119884834
0,0.05,3.615261119884834
0,0.060000000000000005,3.615261119884834
0,0.06999999999999999,3.615261119884834
0,0.08,3.615261119884834
0,0.09,3.615261119884834
0,0.09999999999999999,3.615261119884834
0,0.11,3.615261119884834
0,0.12,3.615261119884834
0,0.13,3.615261119884834
0,0.14,3.615261119884834
0,0.15000000000000002,3.615261119884834
0,0.16,3.615261119884834
0,0.17,3.615261119884834
0,0.18000000000000002,3.615261119884834
0,0.19,3.615261119884834
0,0.2,3.615261119884834
0,0.21000000000000002,3.615261119884834
0,0.22,3.615261119884834
0,0.23,3.615261119884834
0,0.24000000000000002,3.615261119884834
0,0.25,3.615261119884834
0,0.26,3.615261119884834
0,0.27,3.615261119884834
0,0.28,3.615261119884834
0,0.29000000000000004,3.615261119884834
0,0.3,3.615261119884834
0,0.31,3.615261119884834
0,0.32,3.615261119884834
0,0.33,3.615261119884834
0,0.34,3.615261119884834
0,0.35000000000000003,3.615261119884834
0,0.36000000000000004,3.615261119884834
0,0.37,3.615261119884834
0,0.38,3.615261119884834
0,0.39,3.615261119884834
0,0.4,3.615261119884834
0,0.41000000000000003,3.615261119884834
0,0.42000000000000004,3.615261119884834
0,0.43,3.615261119884834
0,0.44,3.615261119884834
0,0.45,3.615261119884834
0,0.46,3.615261119884834
0,0.47000000000000003,3.615261119884834
0,0.48000000000000004,3.615261119884834
0,0.49,3.615261119884834
0,0.5,3.615261119884834
0,0.51,3.615261119884834
0,0.52,3.615261119884834
0,0.53,3.615261119884834
0,0.54,3.615261119884834
0,0.55,3.615261119884834
0,0.56,3.615261119884834
0,0.5700000000000001,3.615261119884834
0,0.5800000000000001,3.615261119884834
